0.42096,0.52875,0.032335,0.030632,0.88175,0.46852
0.33758,0.080007,0.28703,0.43622,0.72072,0.65986
0.094739,0.77537,0.019438,0.70072,0.94681,0.85903
0.018696,0.26232,0.19145,0.57605,0.14131,0.0061443
0.69277,0.040296,0.12602,0.81264,0.24015,0.24346
0.54567,0.40137,0.015003,0.5176,0.89366,0.7485
0.082566,0.073232,0.31899,0.93276,0.0049477,0.25977
0.7235,0.82008,0.94167,0.10257,0.61435,0.55028
0.13776,0.92672,0.069385,0.49156,0.22846,0.050059
0.31213,0.57856,0.3293,0.46364,0.24748,0.4454
0.0091022,0.19046,0.22344,0.65748,0.59533,0.60208
0.56378,0.41826,0.45228,0.18401,0.038203,0.6967
0.50117,0.54031,0.51765,0.059139,0.99394,0.48959
0.93272,0.32859,0.1145,0.29137,0.4808,0.078159
0.95318,0.31292,0.95473,0.14736,0.62471,0.68359
0.36136,0.00034505,0.080578,0.01315,0.094061,0.5291
0.68663,0.37688,0.81839,0.63181,0.27542,0.89872
0.97941,0.52188,0.53679,0.32021,0.7325,0.51562
0.16464,0.86664,0.73303,0.83185,0.091081,0.023234
0.53088,0.94447,0.70843,0.12619,0.95679,0.63236
0.58193,0.10972,0.26875,0.22829,0.63178,0.71802
0.37868,0.30364,0.49572,0.77871,0.19054,0.96998
0.45208,0.79784,0.80797,0.85768,0.64651,0.50034
0.71852,0.98633,0.93224,0.58684,0.58235,0.39632
0.40055,0.10011,0.23091,0.62715,0.97612,0.16066
0.8416,0.76097,0.67098,0.35962,0.13171,0.42694
0.59574,0.88526,0.91275,0.72239,0.17264,0.92308
0.30761,0.24944,0.59001,0.21531,0.82328,0.92146
0.89054,0.1772,0.99683,0.32671,0.84268,0.2745
0.95931,0.14239,0.75251,0.88437,0.37479,0.21405
0.63955,0.59658,0.34358,0.53149,0.74732,0.38311
0.60895,0.64487,0.25969,0.042118,0.054377,0.77597
0.99139,0.97242,0.39768,0.50681,0.34083,0.14996
0.27934,0.74631,0.30111,0.2608,0.31809,0.11896
0.4335,0.060096,0.62482,0.4029,0.33114,0.13282
0.86611,0.33913,0.55646,0.6663,0.51995,0.042876
0.67596,0.017935,0.60188,0.38723,0.41175,0.79341
0.17038,0.95925,0.54598,0.23509,0.39855,0.22187
0.51262,0.62109,0.67941,0.56717,0.76617,0.5794
0.34997,0.4959,0.65873,0.72594,0.4708,0.17239
0.77396,0.72439,0.83745,0.94998,0.79748,0.18476
0.89246,0.38906,0.84638,0.34987,0.81282,0.56064
0.037015,0.83703,0.98124,0.26416,0.28213,0.41061
0.46737,0.35448,0.14495,0.09184,0.024298,0.45407
0.8138,0.81025,0.4412,0.97799,0.55277,0.58954
0.20344,0.56339,0.1759,0.4592,0.50108,0.31149
0.234,0.65132,0.16137,0.41778,0.93091,0.99539
0.27079,0.43863,0.87281,0.74371,0.16802,0.95558
0.15337,0.23909,0.46536,0.86325,0.6816,0.28749
0.758,0.68731,0.69439,0.61053,0.53039,0.82121
0.6544,0.90011,0.20048,0.89912,0.86154,0.32552
0.24882,0.46667,0.3625,0.8245,0.66159,0.075599
0.053318,0.12869,0.1046,0.55107,0.46091,0.29513
0.069094,0.60115,0.79127,0.3033,0.85729,0.75492
0.11585,0.47738,0.48395,0.76833,0.91743,0.94279
0.79775,0.84696,0.38089,0.11386,0.21259,0.84382
0.75337,0.71479,0.049944,0.98467,0.43386,0.36113
0.86073,0.28785,0.75971,0.79206,0.70697,0.81098
0.91492,0.67155,0.41559,0.6876,0.77951,0.34128
0.22531,0.22982,0.40889,0.95975,0.42715,0.73136
0.62462,0.91136,0.63431,0.91461,0.3544,0.61622
0.81839,0.15926,0.88221,0.15763,0.069677,0.10397
0.48736,0.7025,0.89933,0.37791,0.55874,0.87833
0.38917,0.21368,0.77508,0.19446,0.11905,0.86365
0.19307,0.45793,0.58423,0.066905,0.29447,0.66983
